"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5481","Edit course","LMS system","Wed Feb 04 14:34:22 UTC 2026","passed","Wed Feb 04 14:34:27 UTC 2026","Courses","Courses","",""
"","2307","Check dashboard page displaying","LMS system","Wed Feb 04 14:34:27 UTC 2026","passed","Wed Feb 04 14:34:29 UTC 2026","Dashboard","Dashboard","",""
"","1389","Navigate from login page to registration page","LMS system","Wed Feb 04 14:33:47 UTC 2026","passed","Wed Feb 04 14:33:49 UTC 2026","Authorization","Authentication","",""
"","4236","Edit course","LMS system","Wed Feb 04 14:34:22 UTC 2026","passed","Wed Feb 04 14:34:26 UTC 2026","Courses","Courses","",""
"","1784","Navigate from login page to registration page","LMS system","Wed Feb 04 14:33:45 UTC 2026","passed","Wed Feb 04 14:33:47 UTC 2026","Authorization","Authentication","",""
"","1740","Check dashboard page displaying","LMS system","Wed Feb 04 14:34:32 UTC 2026","passed","Wed Feb 04 14:34:33 UTC 2026","Dashboard","Dashboard","",""
"","1629","Check displaying empty courses list","LMS system","Wed Feb 04 14:34:13 UTC 2026","passed","Wed Feb 04 14:34:15 UTC 2026","Courses","Courses","",""
"","3406","Create course","LMS system","Wed Feb 04 14:34:04 UTC 2026","passed","Wed Feb 04 14:34:08 UTC 2026","Courses","Courses","",""
"","2078","User login with wrong email or password","LMS system","Wed Feb 04 14:33:41 UTC 2026","passed","Wed Feb 04 14:33:43 UTC 2026","Authorization","Authentication","",""
"","3788","User login with correct login and password","LMS system","Wed Feb 04 14:33:40 UTC 2026","passed","Wed Feb 04 14:33:44 UTC 2026","Authorization","Authentication","",""
"","1933","User login with wrong email or password","LMS system","Wed Feb 04 14:33:32 UTC 2026","passed","Wed Feb 04 14:33:34 UTC 2026","Authorization","Authentication","",""
"","2706","Registration with correct email, username and password","LMS system","Wed Feb 04 14:34:06 UTC 2026","passed","Wed Feb 04 14:34:08 UTC 2026","Registration","Authentication","",""
"","11160","User login with correct login and password","LMS system","Wed Feb 04 14:33:52 UTC 2026","passed","Wed Feb 04 14:34:03 UTC 2026","Authorization","Authentication","",""
"","2811","Edit course","LMS system","Wed Feb 04 14:34:16 UTC 2026","passed","Wed Feb 04 14:34:19 UTC 2026","Courses","Courses","",""
"","1800","User login with wrong email or password","LMS system","Wed Feb 04 14:33:29 UTC 2026","passed","Wed Feb 04 14:33:31 UTC 2026","Authorization","Authentication","",""
"","2796","Registration with correct email, username and password","LMS system","Wed Feb 04 14:33:56 UTC 2026","passed","Wed Feb 04 14:33:59 UTC 2026","Registration","Authentication","",""
"","1977","User login with wrong email or password","LMS system","Wed Feb 04 14:33:45 UTC 2026","passed","Wed Feb 04 14:33:47 UTC 2026","Authorization","Authentication","",""
"","1696","Check dashboard page displaying","LMS system","Wed Feb 04 14:34:28 UTC 2026","passed","Wed Feb 04 14:34:30 UTC 2026","Dashboard","Dashboard","",""
"","3190","User login with correct login and password","LMS system","Wed Feb 04 14:33:48 UTC 2026","passed","Wed Feb 04 14:33:52 UTC 2026","Authorization","Authentication","",""
"","1874","User login with wrong email or password","LMS system","Wed Feb 04 14:33:37 UTC 2026","passed","Wed Feb 04 14:33:39 UTC 2026","Authorization","Authentication","",""
"","1625","User login with wrong email or password","LMS system","Wed Feb 04 14:33:37 UTC 2026","passed","Wed Feb 04 14:33:39 UTC 2026","Authorization","Authentication","",""
"","2354","Registration with correct email, username and password","LMS system","Wed Feb 04 14:33:53 UTC 2026","passed","Wed Feb 04 14:33:56 UTC 2026","Registration","Authentication","",""
"","2092","User login with wrong email or password","LMS system","Wed Feb 04 14:33:33 UTC 2026","passed","Wed Feb 04 14:33:35 UTC 2026","Authorization","Authentication","",""
"","1111","Check displaying empty courses list","LMS system","Wed Feb 04 14:34:14 UTC 2026","passed","Wed Feb 04 14:34:16 UTC 2026","Courses","Courses","",""
"","3269","Check displaying empty courses list","LMS system","Wed Feb 04 14:34:17 UTC 2026","passed","Wed Feb 04 14:34:20 UTC 2026","Courses","Courses","",""
"","2565","Create course","LMS system","Wed Feb 04 14:34:10 UTC 2026","passed","Wed Feb 04 14:34:12 UTC 2026","Courses","Courses","",""
"","1595","User login with wrong email or password","LMS system","Wed Feb 04 14:33:31 UTC 2026","passed","Wed Feb 04 14:33:33 UTC 2026","Authorization","Authentication","",""
"","1562","User login with wrong email or password","LMS system","Wed Feb 04 14:33:35 UTC 2026","passed","Wed Feb 04 14:33:36 UTC 2026","Authorization","Authentication","",""
"","2333","Navigate from login page to registration page","LMS system","Wed Feb 04 14:33:50 UTC 2026","passed","Wed Feb 04 14:33:52 UTC 2026","Authorization","Authentication","",""
"","2566","Create course","LMS system","Wed Feb 04 14:34:11 UTC 2026","passed","Wed Feb 04 14:34:14 UTC 2026","Courses","Courses","",""
